Streaming output truncated to the last 5000 lines.
{'t': 31.420000000002112, 'V': 78.86817849637141, 'n': 0.7256992927467286, 'm': 0.9938870033674831, 'h': 0.17076812291139318}
{'t': 31.430000000002114, 'V': 78.35981734203419, 'n': 0.7272518156001042, 'm': 0.9937206405910626, 'h': 0.16908448085426356}
{'t': 31.440000000002115, 'V': 77.85221919669684, 'n': 0.7287769690935839, 'm': 0.9935459986930504, 'h': 0.16741851735087607}
{'t': 31.450000000002117, 'V': 77.34544814884447, 'n': 0.7302751134058377, 'm': 0.9933629830133853, 'h': 0.16577008422027792}
{'t': 31.46000000000212, 'V': 76.83956561348248, 'n': 0.7317466038481509, 'm': 0.9931714854386814, 'h': 0.16413903555847534}
{'t': 31.47000000000212, 'V': 76.33463039583789, 'n': 0.7331917908728068, 'm': 0.9929713849639891, 'h': 0.16252522772899045}
{'t': 31.48000000000212, 'V': 75.83069875538125, 'n': 0.734611020085121, 'm': 0.9927625482000646, 'h': 0.16092851935329897}
{'t': 31.490000000002123, 'V': 75.32782447003311, 'n': 0.736004632258925, 'm': 0.9925448298308653, 'h': 0.15934877130112315}
{'t': 31.500000000002125, 'V': 74.8260589004286, 'n': 0.7373729633553049, 'm': 0.9923180730255797, 'h': 0.15778584668055287}
{'t': 31.510000000002126, 'V': 74.32545105412261, 'n': 0.7387163445444063, 'm': 0.9920821098091329, 'h': 0.1562396108279674}
{'t': 31.520000000002128, 'V': 73.82604764962622, 'n': 0.7400351022301209, 'm': 0.9918367613947696, 'h': 0.1547099312977292}
{'t': 31.53000000000213, 'V': 73.32789318017345, 'n': 0.741329558077481, 'm': 0.991581838482013, 'h': 0.1531966778516204}
{'t': 31.54000000000213, 'V': 72.83102997712409, 'n': 0.7426000290425891, 'm': 0.9913171415230212, 'h': 0.15169972244799118}
{'t': 31.550000000002132, 'V': 72.33549827291556, 'n': 0.74384682740492, 'm': 0.99104246096011, 'h': 0.1502189392305892}
{'t': 31.560000000002134, 'V': 71.84133626348307, 'n': 0.7450702608018369, 'm': 0.9907575774369839, 'h': 0.14875420451703736}
{'t': 31.570000000002135, 'V': 71.3485801700729, 'n': 0.7462706322651699, 'm': 0.9904622619860108, 'h': 0.14730539678692692}
{'t': 31.580000000002137, 'V': 70.85726430037948, 'n': 0.7474482402597107, 'm': 0.9901562761936864, 'h': 0.14587239666949187}
{'t': 31.59000000000214, 'V': 70.3674211089415, 'n': 0.7486033787234835, 'm': 0.9898393723462657, 'h': 0.14445508693082942}
{'t': 31.60000000000214, 'V': 69.8790812567372, 'n': 0.7497363371096571, 'm': 0.9895112935573843, 'h': 0.1430533524606309}
{'t': 31.61000000000214, 'V': 69.39227366992303, 'n': 0.7508474004299709, 'm': 0.9891717738793517, 'h': 0.14166708025838604}
{'t': 31.620000000002143, 'V': 68.9070255976637, 'n': 0.7519368492995482, 'm': 0.9888205383996728, 'h': 0.1402961594190236}
{'t': 31.630000000002145, 'V': 68.4233626690052, 'n': 0.7530049599829827, 'm': 0.9884573033242378, 'h': 0.1389404811179496}
{'t': 31.640000000002146, 'V': 67.94130894874537, 'n': 0.7540520044415808, 'm': 0.9880817760485185, 'h': 0.13759993859544442}
{'t': 31.650000000002148, 'V': 67.46088699225983, 'n': 0.7550782503816545, 'm': 0.987693655218012, 'h': 0.13627442714037932}
{'t': 31.66000000000215, 'V': 66.98211789924306, 'n': 0.756083961303759, 'm': 0.9872926307790887, 'h': 0.13496384407321196}
{'t': 31.67000000000215, 'V': 66.50502136632728, 'n': 0.7570693965527772, 'm': 0.9868783840213249, 'h': 0.13366808872822078}
{'t': 31.680000000002153, 'V': 66.02961573854343, 'n': 0.7580348113687562, 'm': 0.986450587612328, 'h': 0.13238706243493692}
{'t': 31.690000000002154, 'V': 65.55591805959044, 'n': 0.7589804569384044, 'm': 0.9860089056259991, 'h': 0.13112066849873322}
{'t': 31.700000000002156, 'V': 65.08394412088077, 'n': 0.7599065804471633, 'm': 0.985552993565121, 'h': 0.12986881218052865}
{'t': 31.710000000002157, 'V': 64.61370850933118, 'n': 0.7608134251317701, 'm': 0.9850824983791053, 'h': 0.12863140067556753}
{'t': 31.72000000000216, 'V': 64.1452246538692, 'n': 0.7617012303332336, 'm': 0.9845970584776844, 'h': 0.12740834309123275}
